ET,NEE,dayind
1.234782448,-1.575644106,298
0.998303374,-1.722542215,299
0.801875901,-1.990088537,300
0.793432624,-2.076630651,301
0.842026716,-1.761519904,302
0.838863761,-1.966267193,303
0.766786968,-2.085158581,304
1.415212871,-2.544098939,457
1.69338846,-2.522062093,458
0.959980503,-3.660923325,459
1.658632077,-2.952706673,460
1.318572654,-3.389868325,461
1.502128308,-3.840808709,462
1.343701812,-3.444587174,463
1.670703185,-3.03529085,464
1.450697093,0.170955109,465
1.971753337,-2.216874618,466
1.834312505,-1.991150718,467
1.707772088,-2.314217984,468
1.613701435,-1.793862044,469
1.858682693,-2.144995918,470
2.341747142,-2.480744709,471
2.247780288,-2.296474398,472
0.721546282,-2.890939121,473
1.46311843,-2.664263301,474
1.817180483,-2.613327052,475
2.279402331,-3.447561194,476
2.092609347,-4.04400802,477
2.045208908,-2.714507283,478
2.420941901,-2.845737308,479
2.393199395,-4.312001872,480
1.994296069,-4.507483564,481
1.973668588,-5.40016943,482
1.462489333,-3.703494441,483
1.702922219,-3.334748213,484
2.208795234,-2.904793737,485
2.611006722,-2.936675375,486
1.278738197,-4.769715955,487
1.440590771,-4.210406324,488
1.831262464,-3.672292745,489
2.260348901,-3.326895037,490
2.303604154,-2.738304197,491
2.083641641,-2.412073306,492
2.556771896,-3.489305136,493
2.508884882,-3.758913771,494
2.333764933,-3.139212472,495
2.230433938,-4.309178327,496
2.564542816,-2.976339276,497
2.85158707,-3.496443562,498
1.961611425,-2.811061526,499
2.163044488,-2.559831019,500
2.679790483,-2.136944272,501
2.730008256,-3.952611613,502
3.039527974,-3.189805398,503
3.107869531,-2.544798556,504
3.064902688,-1.522932871,505
3.40588055,-1.865919107,506
2.873257209,-0.500588741,507
2.616736608,-0.854798247,508
3.03902695,-1.759933227,509
3.064429635,-3.843989846,510
4.203852058,-2.710203646,511
3.74803331,-2.909425131,512
3.44311031,-2.891104296,513
2.956743217,-3.378397292,514
3.453759198,-2.428096172,515
3.432825976,-2.107319957,516
3.321549011,-1.876770085,517
3.307178506,-1.375383141,518
3.086751616,-1.485469433,519
3.171656863,-2.72442688,520
2.795612417,-1.794177044,521
2.63752799,-4.979416557,522
3.263096101,-3.695247784,523
3.081113913,-1.765905048,524
2.779453996,-3.752275196,525
3.087135724,-3.318157178,526
3.066412194,-1.897679242,527
2.959228295,-3.61073577,528
2.867714554,-3.819266956,529
2.749300485,-2.016383835,530
2.788289545,-1.269387315,531
2.71057889,-1.555058597,532
2.518508615,-0.160377838,533
2.759370456,-1.256735841,534
2.642769438,-1.610567433,535
2.784100878,-0.331615302,536
2.388354659,-2.579850089,537
2.932201497,-2.388920879,538
2.987740782,-1.875025151,539
3.154430371,-2.069633619,540
2.874677721,-1.344332784,541
2.985285897,-1.708758728,542
2.359848021,-1.614756053,543
2.50809503,-1.85131623,544
2.477948137,-1.328820794,545
2.712426433,-2.261142672,546
1.764635396,-0.868141556,547
2.955550185,-1.193790874,548
4.041356463,-1.23193512,549
2.414083027,-1.240098972,550
3.09477052,-1.371249435,551
3.095528765,-0.945284461,552
2.991267275,-0.489398332,553
2.860920169,-0.238794799,554
2.952158972,-2.238871467,555
2.412890694,-2.842953758,556
2.820239776,-2.227059706,557
2.098387487,-2.307361913,558
2.153357825,-2.498728275,559
3.181509238,-5.378993701,560
2.635130142,-2.519925841,561
3.555371032,-1.997241448,562
2.876510935,-2.607018827,563
4.302209358,-2.085189713,564
4.043590605,-2.707199142,565
3.222869573,-1.914674567,566
2.739591871,-2.259632745,567
2.785309179,-1.367025791,568
3.208871136,-1.187261911,569
3.714074567,-1.877152755,570
3.388276291,-1.880591601,571
3.064609199,-2.238355835,572
2.300469084,-2.711394248,573
3.309335484,-4.122626693,574
3.801689651,-1.070196963,575
3.072570579,-0.344323205,576
2.638470173,0.164162168,577
2.662757802,-0.152689189,578
3.012577507,0.637302843,579
2.510751161,1.078916013,580
3.007070723,-0.743176517,581
2.835664594,-0.840013763,582
3.101378156,-1.209904111,583
3.558024587,-1.52970376,584
2.700373055,-1.838348241,585
2.931237892,-2.237165233,586
3.406028647,-3.475393011,587
3.234853034,-1.680198539,588
3.049199071,-1.046958057,589
2.831185314,-2.044996559,590
2.641721639,-2.389593471,591
2.348180792,-1.583787636,592
1.939610923,-2.613277543,593
1.733824417,-2.379710628,594
2.729631732,-3.929206666,595
1.806212189,-2.9086706,596
2.077044375,-2.055921693,597
2.281561617,-2.305881389,598
2.009919114,-0.806030681,599
1.747886735,-0.227400948,600
1.805538962,-0.338053463,601
2.932097173,-2.643044764,602
3.878633516,-3.320421853,603
2.356910678,-3.221947339,604
2.745320239,-4.530306506,605
2.595621836,-1.139404105,606
2.14185574,-2.850290221,607
1.696005894,-3.122347082,608
0.688557846,-0.421710414,609
2.937511622,-3.617598543,610
2.967897738,-2.550409759,611
1.99640647,-1.705201406,612
3.608547264,-3.117690177,613
2.750029736,-3.061580743,614
2.803486231,-2.743516947,615
2.856521323,-2.901320949,616
2.175332613,-2.33181369,617
2.384001205,-3.875277805,618
2.269159741,-3.579042008,619
1.273276707,-1.735584359,620
2.083721813,-3.36037654,621
2.069963747,-2.638068751,622
2.046037077,-3.317172397,623
1.83455504,-2.674210138,624
1.729321542,-2.938032018,625
1.219985576,-2.802371015,626
1.935704141,-2.386867214,627
1.790732172,-2.005421948,628
1.859077691,-2.545173443,629
2.086506435,-2.825626353,630
1.592559173,-2.443400613,631
1.923595562,-2.762958336,632
1.607372775,-2.006120484,633
1.553330327,-2.632606725,634
1.30126137,-1.651884385,635
1.89813732,-2.353624826,636
1.500803091,-2.138824762,637
1.814404876,-2.355819019,638
1.761099316,-2.40640373,639
1.747942395,-2.224597643,640
1.501369685,-2.251039739,641
1.81507051,-1.437136208,642
1.225279014,-1.246562644,643
0.430733476,-1.450511946,644
0.832301748,-1.697431466,645
1.491109494,-2.975090517,646
1.573211512,-2.346116701,647
1.62248109,-2.536425207,648
1.878751866,-2.553942866,649
1.463806026,-0.309634668,650
0.405505973,-1.015034692,651
0.752844872,-1.836333924,652
0.54682376,-0.693361039,653
0.644734826,-0.533557206,654
1.143896754,-1.541468174,655
1.473764366,-2.514393334,656
1.283324609,-2.516628172,657
1.229334062,-2.322686459,658
0.758087686,-1.304556676,659
1.026744187,-2.052421015,660
0.837659989,-2.153860684,661
0.882638702,-1.950719098,662
0.802006816,-2.038653742,663
1.213031236,-1.899964887,664
1.253922534,-2.129061909,665
0.672411087,-1.823429931,666
0.912830378,-1.726731051,667
1.025824338,-1.775566504,668
0.924723234,-1.692245092,669
0.729479255,-1.635049046,670
0.977507468,-2.510630191,822
1.145147816,-2.112419635,823
1.505039772,-2.080856024,824
1.660296811,-1.967975157,825
0.934679753,-1.937058411,826
1.183452704,-2.334426876,827
1.405096336,-2.404213428,828
2.207771221,-3.549388939,829
1.696202285,-4.166622554,830
1.621307898,-3.476007014,831
1.195413786,-0.505922129,832
1.036889321,-1.750159347,833
2.376758123,-3.798218784,834
2.156756365,-3.861925632,835
2.649994533,-2.013127028,836
1.65820319,-3.078267553,837
0.782387021,-1.233969975,838
3.169656765,-3.455928489,839
1.739757342,-3.33101015,840
2.485495798,-3.385393027,841
2.704472813,-3.450607856,842
2.616683911,-3.899326805,843
2.200215863,-3.107449527,844
2.699579637,-4.52636673,845
2.518664553,-3.581331977,846
2.17106819,-5.627742471,847
2.363208288,-5.021355077,848
2.73766398,-4.510764152,849
2.592058941,-5.470540582,850
2.693255646,-4.893797609,851
2.596682463,-5.129034005,852
1.712126044,-1.949357483,853
2.576436287,-5.916831627,854
2.846535764,-5.80156415,855
2.685510493,-4.865823533,856
2.575569222,-3.668830983,857
2.602623362,-3.541822009,858
2.375264035,-3.875314991,859
2.318974133,-4.395835241,860
2.345358075,-3.988010793,861
2.401962176,-3.754951511,862
2.270697473,-3.719359915,863
2.123260037,-4.197835276,864
2.102768647,-3.81179083,865
2.048100579,-3.560157113,866
1.199523762,-4.780378192,867
2.100595135,-3.683931981,868
2.274985228,-2.874167777,869
2.208636817,-2.739912062,870
1.722014252,-3.262512353,871
1.607938097,-2.314858146,872
1.272672193,-2.686424893,873
1.960986504,-3.468733032,874
2.92625126,-4.716314185,875
2.33231517,-4.780253878,876
2.065490539,-4.457967304,877
1.988906047,-4.86002186,878
2.208075588,-4.490964091,879
2.47384127,-4.74572468,880
2.051124728,-3.654298153,881
2.439389458,-3.86902925,882
2.36725478,-3.719223926,883
2.024735443,-3.492925804,884
2.566683221,-4.522387605,885
2.412478909,-3.938499721,886
1.515231552,-1.475401957,887
1.774089511,-2.129792874,888
2.984833628,-4.878128443,889
2.467645743,-3.976678774,890
2.562227783,-3.966117718,891
2.559865955,-3.69315088,892
2.861589981,-4.891020113,893
2.849419726,-3.973914467,894
2.524668996,-3.898212953,895
2.404658747,-3.22534035,896
2.858782061,-4.099488103,897
3.010226372,-4.133512263,898
2.569377075,-3.264630229,899
2.87976921,-3.024912913,900
3.226774314,-2.317561918,901
2.368949687,-2.010124687,902
2.852281514,-3.764370393,903
3.905825703,-2.414232908,904
3.494950478,-1.769516203,905
2.809714833,-2.209972497,906
2.742528155,-2.329248933,907
2.850232654,-3.084311801,908
4.271787871,-3.049278428,909
3.394398421,-1.643367697,910
4.007691888,-2.423148265,911
3.56152382,-2.428759252,912
3.534128393,-3.041668475,913
3.461679938,-1.769813259,914
3.084106307,-3.186972988,915
3.710314602,-1.773850973,916
4.387870543,-1.654759169,917
3.446251935,-1.814793037,918
4.070599837,-1.395389456,919
3.388929842,-2.313587118,920
2.825983892,-1.087998923,921
3.161372216,-1.835889205,922
2.892117408,-0.598377474,923
2.860890011,-0.210195479,924
2.392629238,-0.345019146,925
2.153928795,-0.333507035,926
2.039085058,-0.646056484,927
1.9928806,-0.383643783,928
2.622385141,-0.232375664,929
2.117332768,-0.54441748,930
3.056537048,0.207083525,931
2.713708518,-0.757051889,932
2.163063198,-1.578857889,933
3.235427122,-2.395677715,934
3.260595438,-2.541794484,935
3.38221277,-1.141083747,936
2.712460972,-2.069086854,937
2.850418483,-2.826348671,938
2.896031705,-2.621332215,939
2.96751905,-1.664744706,940
2.379826325,-3.025561507,941
3.589165214,-3.016445735,942
3.314107412,-3.054807476,943
3.240871721,-2.345943959,944
2.086511442,-1.653323182,945
2.164751147,-0.353020634,946
1.747871431,-0.661367626,947
1.839787095,-0.668216563,948
1.70097516,-0.365560983,949
2.763484673,-0.856774081,950
1.809713121,-1.174275978,951
1.512893797,-0.265373965,952
1.300725239,-0.011301318,953
1.270286702,0.108303307,954
